缺失文件报告
============================================================
doc_012034.xlsx: 未知原因，行数=20, 有效id=20
doc_012106.xlsx: 未知原因，行数=20, 有效id=20
doc_012108.xlsx: 未知原因，行数=10, 有效id=10
doc_012113.xlsx: 未知原因，行数=20, 有效id=20
doc_012117.xlsx: 未知原因，行数=20, 有效id=20
doc_012118.xlsx: 未知原因，行数=10, 有效id=10
doc_012122.xlsx: 未知原因，行数=10, 有效id=10
doc_012124.xlsx: 未知原因，行数=20, 有效id=20
doc_012129.xlsx: 未知原因，行数=20, 有效id=20
doc_012136.xlsx: 未知原因，行数=10, 有效id=10
doc_012137.xlsx: 未知原因，行数=10, 有效id=10
doc_012140.xlsx: 未知原因，行数=20, 有效id=20
doc_012142.xlsx: 未知原因，行数=20, 有效id=20
doc_012147.xlsx: 未知原因，行数=20, 有效id=20
doc_012149.xlsx: 未知原因，行数=20, 有效id=20
doc_012154.xlsx: 未知原因，行数=10, 有效id=10
doc_012156.xlsx: 未知原因，行数=20, 有效id=20
doc_012158.xlsx: 未知原因，行数=20, 有效id=20
doc_012160.xlsx: 未知原因，行数=10, 有效id=10
doc_012164.xlsx: 未知原因，行数=10, 有效id=10
doc_012166.xlsx: 未知原因，行数=10, 有效id=10
doc_012168.xlsx: 未知原因，行数=10, 有效id=10
doc_012171.xlsx: 未知原因，行数=20, 有效id=20
doc_012173.xlsx: 未知原因，行数=20, 有效id=20
doc_012177.xlsx: 未知原因，行数=10, 有效id=10
doc_012185.xlsx: 未知原因，行数=20, 有效id=20
doc_012188.xlsx: 未知原因，行数=20, 有效id=20
doc_012190.xlsx: 未知原因，行数=20, 有效id=20
doc_012197.xlsx: 未知原因，行数=10, 有效id=10
doc_012349.xlsx: 未知原因，行数=2, 有效id=2
doc_012576.xlsx: 未知原因，行数=20, 有效id=20
doc_012651.xlsx: 未知原因，行数=20, 有效id=20
doc_012696.xlsx: 未知原因，行数=20, 有效id=20
doc_013020.xlsx: 未知原因，行数=20, 有效id=20
doc_013053.xlsx: 未知原因，行数=20, 有效id=20
doc_013069.xlsx: 未知原因，行数=20, 有效id=20
doc_013076.xlsx: 未知原因，行数=20, 有效id=20
doc_013081.xlsx: 未知原因，行数=14, 有效id=14
doc_013084.xlsx: 未知原因，行数=20, 有效id=20
doc_013086.xlsx: 未知原因，行数=20, 有效id=20
doc_013087.xlsx: 未知原因，行数=20, 有效id=20
doc_013098.xlsx: 未知原因，行数=20, 有效id=20
doc_013103.xlsx: 未知原因，行数=20, 有效id=20
doc_013107.xlsx: 未知原因，行数=20, 有效id=20
doc_013115.xlsx: 未知原因，行数=20, 有效id=20
doc_013123.xlsx: 未知原因，行数=20, 有效id=20
doc_013139.xlsx: 未知原因，行数=20, 有效id=20
doc_013606.xlsx: 未知原因，行数=20, 有效id=20
doc_013808.xlsx: 未知原因，行数=10, 有效id=10
doc_014250.xlsx: 未知原因，行数=1, 有效id=1
doc_014453.xlsx: 未知原因，行数=20, 有效id=20
doc_014693.xlsx: 未知原因，行数=20, 有效id=20
doc_014694.xlsx: 未知原因，行数=20, 有效id=20
doc_014696.xlsx: 未知原因，行数=20, 有效id=20
doc_014703.xlsx: 未知原因，行数=20, 有效id=20
doc_014704.xlsx: 未知原因，行数=20, 有效id=20
doc_014707.xlsx: 未知原因，行数=20, 有效id=20
doc_014708.xlsx: 未知原因，行数=20, 有效id=20
doc_014709.xlsx: 未知原因，行数=20, 有效id=20
doc_014710.xlsx: 未知原因，行数=20, 有效id=20
doc_014711.xlsx: 未知原因，行数=20, 有效id=20
doc_014713.xlsx: 未知原因，行数=20, 有效id=20
doc_014716.xlsx: 未知原因，行数=20, 有效id=20
doc_014717.xlsx: 未知原因，行数=20, 有效id=20
doc_014720.xlsx: 未知原因，行数=20, 有效id=20
doc_014721.xlsx: 未知原因，行数=20, 有效id=20
doc_014722.xlsx: 未知原因，行数=20, 有效id=20
doc_014723.xlsx: 未知原因，行数=20, 有效id=20
doc_014726.xlsx: 未知原因，行数=20, 有效id=20
doc_014730.xlsx: 未知原因，行数=20, 有效id=20
doc_014731.xlsx: 未知原因，行数=20, 有效id=20
doc_014735.xlsx: 未知原因，行数=20, 有效id=20
doc_014740.xlsx: 未知原因，行数=20, 有效id=20
doc_014741.xlsx: 未知原因，行数=20, 有效id=20
doc_014744.xlsx: 未知原因，行数=20, 有效id=20
doc_014745.xlsx: 未知原因，行数=20, 有效id=20
doc_014747.xlsx: 未知原因，行数=20, 有效id=20
doc_014749.xlsx: 未知原因，行数=20, 有效id=20
doc_014750.xlsx: 未知原因，行数=20, 有效id=20
doc_014751.xlsx: 未知原因，行数=20, 有效id=20
doc_014753.xlsx: 未知原因，行数=20, 有效id=20
doc_014755.xlsx: 未知原因，行数=20, 有效id=20
doc_014756.xlsx: 未知原因，行数=20, 有效id=20
doc_014757.xlsx: 未知原因，行数=20, 有效id=20
doc_014758.xlsx: 未知原因，行数=20, 有效id=20
doc_014760.xlsx: 未知原因，行数=20, 有效id=20
doc_014761.xlsx: 未知原因，行数=20, 有效id=20
doc_014762.xlsx: 未知原因，行数=20, 有效id=20
doc_014763.xlsx: 未知原因，行数=20, 有效id=20
doc_014766.xlsx: 未知原因，行数=20, 有效id=20
doc_014767.xlsx: 未知原因，行数=20, 有效id=20
doc_014773.xlsx: 未知原因，行数=20, 有效id=20
